centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	latitude	longitude	prop_urban
gower	NA	g236	owl	Strigidae	Strix aluco	tawny owl	NA	ad	10	7	2004	human	veh	d	51.544341	-3.701586	11.1066879
gower	NA	g237	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	10	7	2004	human	build	d	51.675132	-4.9157106	53.24442675
gower	NA	g238	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	13	7	2004	human	pers	d	NA	NA	NA
gower	NA	g239	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	14	7	2004	human	build	d	51.488742	-3.173613	69.98392161
gower	NA	g24	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	9	7	2001	unknown	undet	r	51.595267	-3.7843407	73.38773885
gower	NA	g240	owl	Strigidae	Strix aluco	tawny owl	NA	ad	14	7	2004	human	fen	r	51.60205	-3.3427532	73.06926752
gower	NA	g241	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	16	7	2004	natural	orph	r	51.692293	-4.0124239	19.76512739
gower	NA	g242	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	16	7	2004	natural	orph	d	52.011927	-4.8982199	15.56528662
gower	NA	g244	owl	Tytonidae	Tyto alba	barn owl	NA	juv	18	7	2004	natural	orph	d	51.738636	-3.4988701	41.56050955
gower	NA	g245	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	18	7	2004	unknown	trauma	d	51.777616	-4.1698836	25.61703822
gower	NA	g246	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	juv	21	7	2004	natural	orph	d	51.561166	-3.0285004	60.15127389
gower	NA	g247	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	24	7	2004	natural	metab	r	51.606216	-3.0179661	42.07802548
gower	NA	g248	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	5	8	2004	unknown	undet	d	51.766284	-3.7128197	22.65127389
gower	NA	g249	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	12	8	2004	human	veh	d	51.968537	-4.1048499	1.313694268
gower	NA	g25	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	10	7	2001	unknown	trauma	d	51.946317	-3.5698055	16.34156051
gower	NA	g250	owl	Strigidae	Strix aluco	tawny owl	NA	juv	12	8	2004	human	veh	d	51.772425	-3.6608731	12.7388535
gower	NA	g251	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	NA	14	8	2004	human	build	d	51.617231	-3.9845437	84.59394904
gower	NA	g252	owl	Strigidae	Strix aluco	tawny owl	NA	juv	15	8	2004	human	veh	d	51.60205	-3.3427532	73.06926752
gower	NA	g253	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	16	8	2004	human	veh	r	51.782597	-4.0425378	30.53343949
gower	NA	g254	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	juv	21	8	2004	unknown	trauma	d	51.598464	-3.8104561	91.60031847
gower	NA	g255	raptor	Accipitridae	Accipiter nisus	sparrowhawk	M	juv	21	8	2004	unknown	trauma	d	51.703101	-3.3124591	13.45541401
gower	NA	g256	owl	Tytonidae	Tyto alba	barn owl	NA	ad	23	8	2004	unknown	undet	c	51.612058	-3.9713188	54.87148834
gower	NA	g257	raptor	Accipitridae	Accipiter nisus	sparrowhawk	M	juv	23	8	2004	human	pers	r	51.651279	-3.9918133	63.67436306
