centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	lat	long	buff_rad	prop_urban
gower	NA	g484	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	28	9	2007	unknown	undet	d	51.662404	-3.8043288	1000	80.45382166
gower	NA	g485	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	29	9	2007	unknown	trauma	d	51.995193	-3.7987455	1000	24.40286624
gower	NA	g486	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	29	9	2007	unknown	trauma	r	51.779015	-3.8800116	1000	16.92215807
gower	NA	g487	raptor	Falconidae	Falco peregrinus	peregrine falcon	f	ad	3	10	2007	human	veh	r	51.69514	-3.8953435	1000	55.63296178
gower	NA	g488	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	14	10	2007	unknown	trauma	d	51.748197	-3.3789526	1000	84.7133758
gower	NA	g489	owl	Tytonidae	Tyto alba	barn owl	m	ad	20	10	2007	human	veh	r	51.748197	-3.3789526	1000	84.7133758
gower	NA	g49	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	10	9	2001	unknown	trauma	r	52.074582	-4.1579925	1000	19.20780255
gower	NA	g490	owl	Strigidae	Strix aluco	tawny owl	NA	ad	22	10	2007	human	veh	d	51.824524	-4.0618484	1000	7.643312102
gower	NA	g491	raptor	Falconidae	Falco tinnunculus	common kestrel	m	juv	3	11	2007	unknown	trauma	d	51.595267	-3.7843407	1000	73.38773885
gower	NA	g492	raptor	Falconidae	Falco tinnunculus	common kestrel	f	juv	8	11	2007	human	veh	r	51.507008	-3.6713749	1000	4.518312102
gower	NA	g493	owl	Tytonidae	Tyto alba	barn owl	f	juv	13	11	2007	human	veh	r	52.343874	-2.7206913	1000	1.572452229
gower	NA	g494	raptor	Accipitridae	Buteo buteo	buzzard	f	ad	19	11	2007	human	veh	d	51.819225	-4.3445565	1000	6.38933121
